基金代码,基金简称,2022-01-14-单位净值,2022-01-14-累计净值,2022-01-13-单位净值,2022-01-13-累计净值,日增长值,日增长率,申购状态,赎回状态,手续费
007538,永赢沪深300A,,,1.4937,1.4937,,,限大额,开放赎回,0.10%
006143,恒生前海中证质量成长A,,,1.4933,1.4933,,,开放申购,开放赎回,0.12%
006756,国泰中证生物医药ETF联接A,,,1.4931,1.4931,,,开放申购,开放赎回,0.10%
000195,工银成长收益混合A,,,1.4930,2.0310,,,限大额,开放赎回,0.12%
202009,南方盛元红利混合,,,1.4930,2.20,,,限大额,开放赎回,0.15%
001503,南方利鑫C,,,1.4930,1.57,,,限大额,开放赎回,0.00%
006395,华夏上证50AH优选指数C,,,1.4930,1.4930,,,开放申购,开放赎回,0.00%
006286,华泰MSCI中国A股联接A,,,1.4929,1.8869,,,开放申购,开放赎回,0.12%
002512,长城久润混合,,,1.4925,1.4925,,,开放申购,开放赎回,0.15%
006127,华宝香港中小C,,,1.4921,1.4921,,,开放申购,开放赎回,0.00%
690206,民生加银信用双利债券C,,,1.4910,1.5210,,,暂停申购,开放赎回,0.00%
006780,广发稳健策略混合,,,1.4898,1.4898,,,开放申购,开放赎回,0.15%
007539,永赢沪深300C,,,1.4898,1.4898,,,限大额,开放赎回,0.00%
008181,同泰慧利混合C,,,1.4897,1.4897,,,开放申购,开放赎回,0.00%
002768,华安安进灵活配置混合,,,1.4895,1.4895,,,暂停申购,开放赎回,0.12%
000175,汇添富高息债债券C,,,1.4890,1.5240,,,限大额,开放赎回,0.00%
160221,国泰国证有色金属行业指数(LOF),,,1.4885,1.0671,,,开放申购,开放赎回,0.00%
004488,嘉实富时中国A50ETF联接A,,,1.4885,1.4885,,,开放申购,开放赎回,0.12%
510080,长盛全债指数增强债券,,,1.4882,2.7977,,,限大额,开放赎回,0.10%
008265,南方ESG股票C,,,1.4882,1.4882,,,开放申购,开放赎回,0.00%
002125,广发新兴成长混合,,,1.4880,1.4880,,,开放申购,开放赎回,0.15%
008001,鹏华中证500ETF联接C,,,1.4880,1.4880,,,开放申购,开放赎回,0.00%
008381,前海开源新兴产业混合A,,,1.4874,1.4874,,,开放申购,开放赎回,0.15%
014729,前海开源新兴产业混合C,,,1.4874,1.4874,,,开放申购,开放赎回,0.00%
001247,华泰柏瑞新利混合A,,,1.4871,1.6049,,,限大额,开放赎回,0.15%
165528,信诚鼎利,,,1.4870,1.4870,,,开放申购,开放赎回,0.15%
005998,嘉实深证基本面120联接C,,,1.4870,1.4870,,,开放申购,开放赎回,0.00%
008308,华夏见龙精选混合,,,1.4861,1.4861,,,开放申购,开放赎回,0.15%
002497,东方盛世灵活配置混合A,,,1.4858,1.4858,,,限大额,开放赎回,0.08%
004857,广发中证全指建筑材料指数C,,,1.4857,1.4857,,,开放申购,开放赎回,0.00%
007893,平安估值精选混合A,,,1.4857,1.4857,,,开放申购,开放赎回,0.15%
007827,华润元大量化优选混合C,,,1.4856,1.4856,,,开放申购,开放赎回,0.00%
009590,东方盛世灵活配置混合C,,,1.4856,1.4856,,,限大额,开放赎回,0.00%
005111,泰康泉林量化价值精选混合C,,,1.4854,1.4854,,,开放申购,开放赎回,0.00%
001197,长盛转型升级主题灵活配置混合,,,1.4850,1.4850,,,开放申购,开放赎回,0.15%
007134,嘉实长青竞争优势股票C,,,1.4846,1.4846,,,开放申购,开放赎回,0.00%
372110,上投摩根强化回报债券B,,,1.4842,1.5312,,,开放申购,开放赎回,0.00%
004942,格林伯元灵活配置A,,,1.4841,1.4841,,,开放申购,开放赎回,0.12%
519111,浦银安盛优化收益债券A,,,1.4830,1.7030,,,限大额,开放赎回,0.08%
168204,中融中证煤炭指数(LOF),,,1.4830,1.4830,,,开放申购,开放赎回,0.00%
165527,信诚新旺混合(LOF)C,,,1.4830,1.5160,,,限大额,开放赎回,0.00%
519755,交银多策略回报灵活配置混合A,,,1.4830,1.6150,,,开放申购,开放赎回,0.15%
501045,汇添富沪深300指数C,,,1.4829,1.4829,,,开放申购,开放赎回,0.00%
161120,易方达中债新综指(LOF)C,,,1.4822,1.4822,,,开放申购,开放赎回,0.00%
003754,国泰普益混合A,,,1.4822,1.5812,,,限大额,开放赎回,0.06%
001365,大成正向回报灵活配置混合,,,1.4820,1.4820,,,开放申购,开放赎回,0.15%
519761,交银多策略回报灵活配置混合C,,,1.4820,1.6140,,,开放申购,开放赎回,0.00%
004856,广发中证全指建筑材料指数A,,,1.4817,1.4817,,,开放申购,开放赎回,0.10%
001381,鹏华弘泽混合C,,,1.4808,1.4808,,,限大额,开放赎回,0.00%
001762,广发安宏回报混合C,,,1.4806,1.4806,,,限大额,开放赎回,0.00%
001120,东方睿鑫热点挖掘混合A,,,1.4806,1.4806,,,开放申购,开放赎回,0.12%
002091,华泰柏瑞新利混合C,,,1.48,1.5978,,,限大额,开放赎回,0.00%
002639,天弘价值精选灵活配置混合,,,1.48,1.48,,,开放申购,开放赎回,0.15%
003658,长盛量化多策略灵活配置混合,,,1.48,1.48,,,开放申购,开放赎回,0.15%
004157,信诚至诚灵活配置混合A,,,1.48,1.48,,,限大额,开放赎回,0.10%
006274,圆信永丰医药健康,,,1.4794,1.4794,,,开放申购,开放赎回,0.15%
004270,汇添富民丰回报混合A,,,1.4791,1.4791,,,限大额,开放赎回,0.12%
002305,光大风格轮动混合A,,,1.4790,1.4790,,,限大额,开放赎回,0.15%
002006,工银新得益混合,,,1.4790,1.4790,,,开放申购,开放赎回,0.15%
006144,恒生前海中证质量成长C,,,1.4783,1.4783,,,开放申购,开放赎回,0.00%
007523,汇添富内需增长股票A,,,1.4781,1.4781,,,开放申购,开放赎回,0.15%
003117,光大吉鑫混合A,,,1.4780,1.5270,,,限大额,开放赎回,0.08%
002670,万家沪深300指数增强A,,,1.4776,1.6356,,,开放申购,开放赎回,0.10%
002717,红塔红土盛隆灵活配置A,,,1.4776,1.8276,,,开放申购,开放赎回,0.10%
004340,泰康兴泰回报沪港深混合,,,1.4773,1.4773,,,开放申购,开放赎回,0.10%
007126,博道远航混合A,,,1.4772,1.7072,,,开放申购,开放赎回,0.15%
004707,景顺长城睿成混合A,,,1.4770,1.4770,,,限大额,开放赎回,1.00%
011446,长江新能源产业混合发起A,,,1.4765,1.4765,,,开放申购,开放赎回,0.15%
002172,海富通新内需混合C,,,1.4757,1.8717,,,开放申购,开放赎回,0.15%
006757,国泰中证生物医药ETF联接C,,,1.4754,1.4754,,,开放申购,开放赎回,0.00%
002597,兴业成长动力混合,,,1.4750,1.6930,,,开放申购,开放赎回,0.15%
006883,华泰保兴健康消费C,,,1.4750,1.4750,,,开放申购,开放赎回,0.00%
008375,中欧启航三年混合A,,,1.4746,1.4746,,,暂停申购,暂停赎回,1.50%
213007,宝盈增强收益债券A/B,,,1.4745,2.0565,,,开放申购,开放赎回,0.08%
004943,格林伯元灵活配置C,,,1.4742,1.4742,,,开放申购,开放赎回,0.00%
001282,华安新机遇灵活配置,,,1.4741,1.4741,,,开放申购,开放赎回,0.12%
004653,建信鑫利回报灵活配置混合C,,,1.4741,1.4741,,,限大额,开放赎回,0.00%
519116,浦银安盛沪深300指数增强,,,1.4740,2.2080,,,开放申购,开放赎回,0.12%
004871,中银金融地产混合A,,,1.4736,1.4736,,,开放申购,开放赎回,0.15%
002458,国泰民利策略收益混合,,,1.4734,1.4734,,,限大额,开放赎回,0.12%
210006,金鹰元禧混合A,,,1.4734,1.7136,,,限大额,开放赎回,0.08%
009063,财通智慧成长混合C,,,1.4734,1.4734,,,开放申购,开放赎回,0.00%
000876,建信稳定得利债券C,,,1.4730,1.4730,,,开放申购,开放赎回,0.00%
005938,工银精选金融地产混合C,,,1.4723,1.4723,,,开放申购,开放赎回,0.00%
011447,长江新能源产业混合发起C,,,1.4722,1.4722,,,开放申购,开放赎回,0.00%
162712,广发聚利债券(LOF)A,,,1.4720,1.9471,,,限大额,开放赎回,0.08%
001257,兴业收益增强债券A,,,1.4720,1.5740,,,限大额,开放赎回,0.08%
001201,申万菱信安鑫回报混合A,,,1.4720,1.5280,,,限大额,开放赎回,0.07%
006293,华泰MSCI中国A股联接C,,,1.4719,1.8659,,,开放申购,开放赎回,0.00%
002425,金鹰元禧混合C,,,1.4716,1.9716,,,限大额,开放赎回,0.00%
501090,华宝中证消费龙头指数(LOF)A,,,1.4709,1.4709,,,开放申购,开放赎回,0.10%
007784,广发央企创新驱动ETF联接A,,,1.4704,1.4704,,,开放申购,开放赎回,0.12%
008396,博时中证500ETF联接A,,,1.4702,1.4702,,,开放申购,开放赎回,0.12%
009092,富国新材料新能源混合A,,,1.4701,1.4701,,,开放申购,开放赎回,0.15%
519969,长信新利灵活配置混合,,,1.47,1.6580,,,限大额,开放赎回,0.15%
004510,九泰久盛量化先锋混合C,,,1.47,1.6510,,,开放申购,开放赎回,0.00%
009710,诺德新盛灵活配置混合C,,,1.4699,1.4699,,,开放申购,开放赎回,0.00%
501028,财通多策略福瑞混合发起式(LOF)A,,,1.4698,1.4698,,,开放申购,开放赎回,0.15%
165806,东吴沪深300指数A,,,1.4695,1.4695,,,开放申购,开放赎回,0.12%
165810,东吴沪深300指数C,,,1.4695,1.4695,,,暂停申购,开放赎回,0.00%
014243,富国新材料新能源混合C,,,1.4695,1.4695,,,开放申购,开放赎回,0.00%
003755,国泰普益混合C,,,1.4693,1.5683,,,限大额,开放赎回,0.00%
481012,工银深证红利ETF联接A,,,1.4691,2.1039,,,开放申购,开放赎回,0.10%
002494,兴业聚盈混合A,,,1.4689,1.4689,,,开放申购,开放赎回,0.15%
005396,中金丰硕混合,,,1.4689,1.4689,,,限大额,开放赎回,0.15%
006129,华安中证500低波ETF联接A,,,1.4689,1.4689,,,开放申购,开放赎回,0.12%
519668,银河成长混合,,,1.4688,4.0446,,,开放申购,开放赎回,0.15%
004404,平安股息精选沪港深C,,,1.4683,1.4683,,,限大额,开放赎回,0.00%
005865,浦银安盛量化多策略混合A,,,1.4683,1.4683,,,开放申购,开放赎回,0.15%
013748,兴业聚盈混合C,,,1.4682,1.4682,,,开放申购,开放赎回,0.00%
501086,华宝MSCI中国A股国际通(LOF)A,,,1.4680,1.4680,,,开放申购,开放赎回,0.10%
004271,汇添富民丰回报混合C,,,1.4679,1.4679,,,限大额,开放赎回,0.00%
164905,交银国证新能源指数(LOF)A,,,1.4678,1.5416,,,开放申购,开放赎回,0.12%
004046,华夏新锦顺混合A,,,1.4677,1.5744,,,限大额,开放赎回,1.50%
013453,交银国证新能源指数(LOF)C,,,1.4674,1.4674,,,开放申购,开放赎回,0.00%
003780,鹏华兴悦定期开放混合,,,1.4673,1.4673,,,暂停申购,暂停赎回,0.08%
010312,中银金融地产混合C,,,1.4672,1.4672,,,开放申购,开放赎回,0.00%
007785,广发央企创新驱动ETF联接C,,,1.4671,1.4671,,,开放申购,开放赎回,0.00%
008286,易方达研究精选股票,,,1.4670,1.4670,,,开放申购,开放赎回,0.15%
006926,长城量化精选股票A,,,1.4669,1.4669,,,开放申购,开放赎回,0.15%
012811,华宝MSCI中国A股国际通(LOF)C,,,1.4668,1.4668,,,开放申购,开放赎回,0.00%
007894,平安估值精选混合C,,,1.4653,1.4653,,,开放申购,开放赎回,0.00%
002718,红塔红土盛隆灵活配置C,,,1.4651,1.8151,,,开放申购,开放赎回,0.00%
009329,华宝中证消费龙头指数(LOF)C,,,1.4650,1.4650,,,开放申购,开放赎回,0.00%
166001,中欧新趋势混合A,,,1.4642,2.8684,,,开放申购,开放赎回,0.15%
110025,易方达资源行业混合,,,1.4640,1.4640,,,开放申购,开放赎回,0.15%
002049,融通新机遇灵活配置混合,,,1.4640,1.5050,,,开放申购,开放赎回,0.15%
002498,兴业聚鑫灵活配置混合A,,,1.4640,1.4940,,,开放申购,开放赎回,0.15%
004609,长信乐信灵活配置混合C,,,1.4639,1.4819,,,限大额,开放赎回,0.00%
398021,中海能源策略混合,,,1.4634,1.7734,,,开放申购,开放赎回,0.15%
008376,中欧启航三年混合C,,,1.4625,1.4625,,,暂停申购,暂停赎回,0.00%
004790,富荣中证500指数A,,,1.4623,1.4623,,,开放申购,开放赎回,0.12%
002177,信诚新泽B,,,1.4620,1.5550,,,限大额,开放赎回,0.00%
000078,工银信用纯债三个月定开债A,,,1.4619,1.4619,,,暂停申购,暂停赎回,0.06%
011174,中庚价值品质一年持有期混合,,,1.4616,1.4616,,,暂停申购,开放赎回,1.50%
004652,建信鑫利回报灵活配置混合A,,,1.4614,1.4614,,,限大额,开放赎回,0.15%
501019,国泰国证航天军工指数,,,1.4613,1.4613,,,开放申购,开放赎回,0.12%
008397,博时中证500ETF联接C,,,1.4612,1.4612,,,开放申购,开放赎回,0.00%
000130,大成景兴信用债债券A,,,1.4610,1.7610,,,开放申购,开放赎回,0.08%
008221,兴业聚鑫灵活配置混合C,,,1.4610,1.4610,,,开放申购,开放赎回,0.00%
002719,融通增祥三个月定开债,,,1.4607,1.5107,,,暂停申购,暂停赎回,0.70%
005550,汇安成长优选混合A,,,1.4604,1.4604,,,开放申购,开放赎回,0.15%
011463,长城量化精选股票C,,,1.4601,1.4601,,,开放申购,开放赎回,0.00%
001724,申万菱信多策略灵活配置混合C,,,1.46,1.5660,,,限大额,开放赎回,0.00%
165314,建信信用增强债券(LOF)C,,,1.46,1.46,,,限大额,开放赎回,0.00%
002490,金鹰元祺信用债,,,1.4599,1.5019,,,开放申购,开放赎回,0.08%
006768,华安沪港深优选混合,,,1.4599,1.4599,,,开放申购,开放赎回,0.15%
